category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/greaterOrEqual,greaterOrEqual,This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.,,大于等于,数学中的大于等于,,,,,http://schema.org/greaterOrEqual
property,http://cnschema.org/gtin12,gtin12,"The GTIN-12 code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See GS1 GTIN Summary for more details.",,12位全球贸易品项识别码,12位全球贸易品项识别码,,,,https://en.wikipedia.org/wiki/GTIN-12,http://schema.org/gtin12
property,http://cnschema.org/gtin13,gtin13,"The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See GS1 GTIN Summary for more details.",,13位全球贸易品项识别码,13位全球贸易品项识别码,,,,https://en.wikipedia.org/wiki/GTIN-13,http://schema.org/gtin13
property,http://cnschema.org/gtin14,gtin14,"The GTIN-14 code of the product, or the product to which the offer refers. See GS1 GTIN Summary for more details.",,14位全球贸易品项识别码,14位全球贸易品项识别码,,,,https://en.wikipedia.org/wiki/GTIN-14,http://schema.org/gtin14
property,http://cnschema.org/gtin8,gtin8,"The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See GS1 GTIN Summary for more details.",,8位全球贸易品项识别码,8位全球贸易品项识别码,,,,https://en.wikipedia.org/wiki/GTIN-8,http://schema.org/gtin8
property,http://cnschema.org/hasCourseInstance,hasCourseInstance,An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.,,课程实例,具体课程,,,,,http://schema.org/hasCourseInstance
property,http://cnschema.org/hasDeliveryMethod,hasDeliveryMethod,Method used for delivery or shipping.,,物流送货方式,送货方式,,,,,http://schema.org/hasDeliveryMethod
property,http://cnschema.org/hasDigitalDocumentPermission,hasDigitalDocumentPermission,"A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to ""public"".",,数字文档访问权限,数字文档访问权限,电子文档访问权限,,,,http://schema.org/hasDigitalDocumentPermission
property,http://cnschema.org/hasMap,hasMap,A URL to a map of the place.,,地图URL,一个显示位置地图的URL,,,,,http://schema.org/hasMap
property,http://cnschema.org/hasMenu,hasMenu,"Either the actual menu as a structured representation, as text, or a URL of the menu.",,目录,在文本中的具体结构化目录或目录的URL,,,,,http://schema.org/hasMenu
property,http://cnschema.org/hasMenuItem,hasMenuItem,A food or drink item contained in a menu or menu section.,,菜单,食物或饮料菜单或菜单条中包含的内容,,,,,http://schema.org/hasMenuItem
property,http://cnschema.org/hasMenuSection,hasMenuSection,"A subgrouping of the menu (by dishes, course, serving time period, etc.).",,菜单子目录,菜单子目录,,,,,http://schema.org/hasMenuSection
property,http://cnschema.org/hasOfferCatalog,hasOfferCatalog,"Indicates an OfferCatalog listing for this Organization, Person, or Service.",,清单,为组织、个人或服务提供的清单列表,,,,,http://schema.org/hasOfferCatalog
property,http://cnschema.org/hasPOS,hasPOS,Points-of-Sales operated by the organization or person.,,销售点,由组织或个人经营销售网点。,,has part,,,http://schema.org/hasPOS
property,http://cnschema.org/hasPart,hasPart,Indicates a CreativeWork that is (in some sense) a part of this CreativeWork.,,作品组件,表示某个作品是该作品的一部分,,,,,http://schema.org/hasPart
property,http://cnschema.org/headline,headline,Headline of the article.,,文章标题,文章标题,,,,https://en.wikipedia.org/wiki/Headline,http://schema.org/headline
